,",",.,?,!,:,;,-,–,',"""",,",",.,?,!,:,;,-,–,',""""
"Disraeli, Benjamin, Earl of Beaconsfield",144327,82700,8322,10218,4458,22106,12477,0,34641,14951,"Disraeli, Benjamin, Earl of Beaconsfield",0,0,0,0,0,0,0,0,0,0
"Wagner, Richard",29857,16049,1023,2750,781,2227,4123,0,3806,607,"Wagner, Richard",23753,10514,1485,3406,3411,1756,10054,0,14241,0
"Saint-Simon, Louis de Rouvroy, duc de",72701,38538,408,779,888,8366,11631,0,4721,2960,"Saint-Simon, Louis de Rouvroy, duc de",0,0,0,0,0,0,0,0,0,0
"Musset, Alfred de",16294,9742,2238,1521,641,4504,1235,0,722,5316,"Musset, Alfred de",32857,31251,5458,4873,1029,5977,12377,0,26753,219
"Vigny, Alfred de",23897,10935,1506,2242,632,4083,3364,0,1941,9532,"Vigny, Alfred de",22390,11432,1242,2313,1471,3818,9799,0,17656,670
"Halévy, Ludovic",10983,6843,861,1164,341,1405,2792,0,1518,4841,"Halévy, Ludovic",0,0,0,0,0,0,0,0,0,0
"Leblanc, Maurice",91501,105779,14365,11333,7995,5175,13318,0,18745,55364,"Leblanc, Maurice",5052,4866,652,500,364,17,3815,0,4133,2
"Mozart, Wolfgang Amadeus",10163,6624,313,525,218,1248,1840,0,919,1900,"Mozart, Wolfgang Amadeus",0,0,0,0,0,0,0,0,0,0
"Malthus, T. R. (Thomas Robert)",6851,2435,59,5,78,453,296,0,208,20,"Malthus, T. R. (Thomas Robert)",0,0,0,0,0,0,0,0,0,0
"Bergson, Henri",22293,7136,331,66,678,858,3592,0,266,948,"Bergson, Henri",0,0,0,0,0,0,0,0,0,0
"Renard, Jules",0,0,0,0,0,0,0,0,0,0,"Renard, Jules",10729,8610,855,1350,1083,270,5180,0,7328,35
"Munro, William Bennett",3224,2060,2,6,30,321,487,0,186,185,"Munro, William Bennett",0,0,0,0,0,0,0,0,0,0
"Verlaine, Paul",917,244,51,161,25,43,338,0,138,83,"Verlaine, Paul",4962,2231,237,796,165,153,982,0,3217,4
"Littré, Emile",0,0,0,0,0,0,0,0,0,0,"Littré, Emile",1691,889,51,7,72,294,366,0,1479,2
"Churchill, Winston",297911,245358,20343,10800,4986,15893,74980,0,68836,137925,"Churchill, Winston",0,0,0,0,0,0,0,0,0,0
"Jefferson, Thomas",142265,70586,1271,201,3028,9281,9308,0,4858,762,"Jefferson, Thomas",0,0,0,0,0,0,0,0,0,0
"Monroe, James",2330,1218,10,0,12,94,68,0,3,8,"Monroe, James",0,0,0,0,0,0,0,0,0,0
"Jackson, Andrew",4078,2091,23,0,16,140,249,0,30,32,"Jackson, Andrew",0,0,0,0,0,0,0,0,0,0
"Hayes, Rutherford Birchard",2034,1062,5,0,17,53,138,0,10,28,"Hayes, Rutherford Birchard",0,0,0,0,0,0,0,0,0,0
"Arthur, Chester Alan",1195,807,0,0,20,18,306,0,13,2,"Arthur, Chester Alan",0,0,0,0,0,0,0,0,0,0
"Cleveland, Grover",36532,20366,30,6,1784,1844,4404,0,943,2500,"Cleveland, Grover",0,0,0,0,0,0,0,0,0,0
"McKinley, William",17282,9454,18,2,601,1425,1618,0,348,546,"McKinley, William",0,0,0,0,0,0,0,0,0,0
"Coolidge, Calvin",4311,4597,70,3,32,161,399,0,86,150,"Coolidge, Calvin",0,0,0,0,0,0,0,0,0,0
"Hoover, Herbert",4664,4895,3,0,140,360,2530,0,97,419,"Hoover, Herbert",0,0,0,0,0,0,0,0,0,0
"Truman, Harry S.",2856,3720,19,4,55,111,943,0,128,71,"Truman, Harry S.",0,0,0,0,0,0,0,0,0,0
"Eisenhower, Dwight D. (Dwight David)",2489,2619,3,10,90,190,712,0,151,41,"Eisenhower, Dwight D. (Dwight David)",0,0,0,0,0,0,0,0,0,0
"Kennedy, John F. (John Fitzgerald)",932,953,7,0,39,37,784,0,49,48,"Kennedy, John F. (John Fitzgerald)",0,0,0,0,0,0,0,0,0,0
"Johnson, Lyndon B. (Lyndon Baines)",1263,1491,18,0,55,64,843,0,76,64,"Johnson, Lyndon B. (Lyndon Baines)",0,0,0,0,0,0,0,0,0,0
"Nixon, Richard M. (Richard Milhous)",976,841,8,0,26,21,324,0,74,26,"Nixon, Richard M. (Richard Milhous)",0,0,0,0,0,0,0,0,0,0
"Carter, Jimmy",1935,2146,6,0,80,142,643,0,321,60,"Carter, Jimmy",0,0,0,0,0,0,0,0,0,0
"Reagan, Ronald",1826,1710,29,2,102,93,504,0,498,92,"Reagan, Ronald",0,0,0,0,0,0,0,0,0,0
"Bush, George",749,801,6,0,53,13,176,0,218,32,"Bush, George",0,0,0,0,0,0,0,0,0,0
"Bush, George W. (George Walker)",2281,2513,4,0,121,47,709,0,303,74,"Bush, George W. (George Walker)",0,0,0,0,0,0,0,0,0,0
"Wilson, Woodrow",18611,10995,472,86,307,2397,2719,0,632,1120,"Wilson, Woodrow",0,0,0,0,0,0,0,0,0,0
"Boileau Despréaux, Nicolas",0,0,0,0,0,0,0,0,0,0,"Boileau Despréaux, Nicolas",1095,346,42,50,137,142,103,0,666,2
"Yeats, W. B. (William Butler)",69240,42045,2977,1796,1608,6353,8579,0,8879,3837,"Yeats, W. B. (William Butler)",0,0,0,0,0,0,0,0,0,0
"Train, Arthur Cheney",31177,31539,2899,4202,559,1612,11393,0,9580,20791,"Train, Arthur Cheney",0,0,0,0,0,0,0,0,0,0
"La Fontaine, Jean de",46767,17922,2005,2086,3346,10681,9223,0,14725,3920,"La Fontaine, Jean de",928,508,73,38,171,163,191,0,905,0
"Kandinsky, Wassily",1683,1460,27,2,114,90,344,0,75,376,"Kandinsky, Wassily",0,0,0,0,0,0,0,0,0,0
